17587	158878
17942	451516
9838	9606
16708	354242
6474	85962
11052	272943
17509	293826
7617	447217
4643	319225
4826	517417
276	290318
2926	146891
12399	290633
18277	471473
1482	390874
17737	455434
5258	3893
11695	218496
4575	3891
17720	36351
12036	3659
17923	3673
11538	184140
6789	3659
2271	198836
12759	340099
13028	7220
7725	7240
15586	5660
8111	548547
10895	278060
16574	278060
14340	278060
13966	278060
5270	278060
6646	278060
16974	278060
9972	278060
4388	278060
11238	34649
10271	34648
6283	539894
9856	69014
3206	224326
12616	314724
7375	216389
12232	272621
15181	243276
12627	1967
14294	459349
739	34649
12548	112024
8172	55084
18225	380989
15255	34648
7690	868565
7832	272561
5993	9913
8259	562
18196	485918
16293	700598
6625	273057
10830	340102
13891	652963
5944	11619
7938	11624
12430	928313
17213	296738
19528	3702
13919	121615
12082	321314
15313	9606
13165	57040
15374	4081
3486	10090
13323	377628
9421	44689
889	224326
62	9606
19100	237561
1835	3712
15751	34282
3960	69717
5248	3334
16871	3330
6102	3335
855	3915
16033	1979166
15257	83332
6594	83332
810	693989
2277	142803
4459	419665
5710	521011
3894	39946
10949	10116
8516	99287
12767	83333
2859	10498
2544	654902
15722	9490
18069	1914
16549	9823
1283	3702
15582	362663
7336	529507
11859	393305
5972	6238
17859	284811
7523	6238
8734	284592
16013	284811
1413	7165
9464	322104
9155	6239
11319	322104
6903	9913
14920	10090
19816	319225
16978	324925
13858	326297
10899	323850
15000	211586
19671	392500
9165	242619
200	69891
15585	222929
19080	1916
14912	265669
7148	160488
9318	282458
15678	226185
8157	101510
7733	93061
17122	176280
9578	360102
12443	257313
9036	267747
1515	370552
18008	190485
19158	273036
2779	159087
8204	62928
16306	450851
16362	553482
17060	553483
5705	7227
4755	294748
5403	284592
4715	9606
18527	402882
5579	318161
5960	351745
11336	3702
18371	9606
6939	10090
1039	44689
18754	6239
3738	5811
16246	184542
3963	559298
2040	482561
19425	6112
19288	6110
12740	31164
17231	462333
86	462333
16934	6112
12068	659513
8387	45351
942	45351
5349	45351
6641	230562
18821	462315
16096	7227
11047	3702
6804	3702
4795	39947
18958	3702
4115	273116
5507	325240
1083	318161
19646	211586
11391	398579
13639	392500
7923	455434
2256	521460
4501	273068
9639	246194
16832	290315
13646	323259
11683	410358
19122	368407
12894	9606
3643	9913
9739	273121
9409	83332
12903	6239
15818	6239
2811	6239
6558	6289
3616	45464
14577	8355
13485	6239
17776	497827
17876	112024
11523	172552
8535	34648
18622	172552
839	8932
14384	9606
4219	5061
3269	347834
10854	10377
12688	868565
14013	11732
8685	10090
5692	409167
7789	29320
19591	6239
19559	347834
3843	1848
8763	1829
1858	6239
13710	6239
1317	6239
12558	6239
4023	6239
7044	3067
2925	561444
16390	3702
19144	3702
16136	3349
5980	3702
7398	3702
18208	368408
19684	3888
1001	3847
1461	8355
9954	8355
7694	272560
9290	6239
19743	224911
5416	55395
15733	453591
4406	9606
9744	13249
18166	9606
10214	9606
16566	331117
8815	6239
12417	9606
13493	7227
17356	66797
4866	272622
8500	7441
14379	743375
203	7441
9887	882735
18286	27505
8036	88087
2709	113192
9383	8705
15576	29156
12571	8355
17610	10152
8517	9791
11987	30582
19225	214684
7330	294746
14202	379508
12278	418136
15944	190650
10707	272626
12532	3702
1615	8286
12147	7107
15400	562
11257	868565
13112	176279
12647	83332
7750	4113
7557	4113
6513	160510
2509	4113
16116	70109
2093	9823
2201	310441
12159	310440
12289	310435
5341	224308
3837	226186
1797	427318
15153	224308
5186	1422
13139	10090
1977	9606
8406	6763
10222	6759
18994	439235
12121	96561
18057	511995
13779	393115
9012	46015
1054	167542
17260	3702
6529	3702
7269	426368
3416	554155
4727	3702
17816	46793
1176	7297
12868	425265
6710	126431
7088	65393
4041	316279
283	4922
1457	427318
10939	321614
3957	5759
12952	477974
9195	187420
2477	272631
6519	350058
17245	2262
18808	7227
11685	192952
16800	3880
12864	9606
8382	243160
1236	121791
16043	319225
11996	7227
5309	394475
16174	103690
10396	8393
12275	762504
3296	394475
1681	9606
17035	83333
15958	6239
14602	4072
13233	5874
19473	273057
